Name,Brand,Model,Inches,Price,Price_Category,DisplayType,Resolution,Colour,Width,Height,PPI,Original_Brand
samsung qa55qn85cak 55 inch (139 cm) neo qled 4k tv,Samsung,qa55qn85cak 5,55,159990,Premium,QLED 4K,3840x2160,Black,3840,2160,80.11,samsung
sony bravia kd-75x80k 75 inch (190 cm) led 4k tv,Sony,bravia kd-75x80k 7,75,144990,Premium,4K,3840x2160,Black,3840,2160,58.74,sony
sony bravia kd-65x75k 65 inch (165 cm) led 4k tv,Sony,bravia kd-65x75k 6,65,79990,High-end,4K,3840x2160,Black,3840,2160,67.78,sony
sony bravia kd-55x82l 55 inch (139 cm) led 4k tv,Sony,bravia kd-55x82l 5,55,75890,High-end,4K,3840x2160,Black,3840,2160,80.11,sony
sony bravia kd-50x75k 50 inch (127 cm) led 4k tv,Sony,bravia kd-50x75k 5,50,54008,Mid-range,4K,3840x2160,Black,3840,2160,88.12,sony
sony bravia xr-65a80k 65 inch (165 cm) oled 4k tv,Sony,bravia xr-65a80k 6,65,199990,Premium,4K,3840x2160,Black,3840,2160,67.78,sony
sony bravia xr-65x90k 65 inch (165 cm) led 4k tv,Sony,bravia xr-65x90k 6,65,144990,Premium,4K,3840x2160,Black,3840,2160,67.78,sony
samsung the frame qa75ls03bak 75 inch (190 cm) qled 4k tv,Samsung,the frame qa75ls03bak 7,75,309990,Luxury,4K,3840x2160,Black,3840,2160,58.74,samsung
samsung the frame qa43ls03bak 43 inch (109 cm) qled 4k tv,Samsung,the frame qa43ls03bak 4,43,65990,High-end,4K,3840x2160,Black,3840,2160,102.46,samsung
tcl 55p635 pro 55 inch (139 cm) led 4k tv,Tcl,55p635 pro 5,55,38990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,tcl
sony bravia kd-50x64l 50 inch (127 cm) led 4k tv,Sony,bravia kd-50x64l 5,50,50999,Mid-range,4K,3840x2160,Black,3840,2160,88.12,sony
samsung ua43te50fak 43 inch (109 cm) led full hd tv,Samsung,ua43te50fak 4,43,32990,Mid-range,Full HD,1920x1080,Black,1920,1080,51.23,samsung
xiaomi smart tv 5a 32 inch (81 cm) led hd-ready tv,Xiaomi,smart tv 5a 3,32,12999,Affordable,HD-Ready,1366x768,Black,1366,768,48.97,xiaomi
xiaomi mi tv 4a 40 inch (101 cm) led full hd tv,Xiaomi,mi tv 4a 4,40,19999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,xiaomi
xiaomi a series l43m8-5ain 43 inch (109 cm) led full hd tv,Xiaomi,a series l43m8-5ain 4,43,24999,Affordable,Full HD,1920x1080,Black,1920,1080,51.23,xiaomi
xiaomi a series l40m8-5ain 40 inch (101 cm) led full hd tv,Xiaomi,a series l40m8-5ain 4,40,19999,Affordable,Full HD,1920x1080,Black,1920,1080,55.07,xiaomi
lg 70ut80506la 70 inch (177 cm) led 4k tv,Lg,70ut80506la 7,70,119990,Premium,4K,3840x2160,Black,3840,2160,62.94,lg
lg 43ut80506la 43 inch (109 cm) led 4k tv,Lg,43ut80506la 4,43,46990,Mid-range,4K,3840x2160,Black,3840,2160,102.46,lg
lg 65ut80506la 65 inch (165 cm) led 4k tv,Lg,65ut80506la 6,65,95990,High-end,4K,3840x2160,Black,3840,2160,67.78,lg
lg 55ut80506la 55 inch (139 cm) led 4k tv,Lg,55ut80506la 5,55,63990,High-end,4K,3840x2160,Black,3840,2160,80.11,lg
lg 50ut80506la 50 inch (127 cm) led 4k tv,Lg,50ut80506la 5,50,53990,Mid-range,4K,3840x2160,Black,3840,2160,88.12,lg
lg 75ut80506la 75 inch (190 cm) led 4k tv,Lg,75ut80506la 7,75,149990,Premium,4K,3840x2160,Black,3840,2160,58.74,lg
tcl 55p755 pro 55 inch (139 cm) qled 4k tv,Tcl,55p755 pro 5,55,44990,Mid-range,4K,3840x2160,Black,3840,2160,80.11,tcl
