Name,Brand,Model,Inches,Price,DisplayType,Resolution,Colour
vu 50gloled 50 inch (127 cm) led 4k tv,vu,50gloled 5,50,32999,4K,3840x2160,Black
vu 55gloled 55 inch (139 cm) led 4k tv,vu,55gloled 5,55,36999,4K,3840x2160,Black
vu 65gloled 65 inch (165 cm) led 4k tv,vu,65gloled 6,65,55999,4K,3840x2160,Black
acer i series ar75ar2851udfl 75 inch (190 cm) led 4k tv,acer,i series ar75ar2851udfl 7,75,89999,4K,3840x2160,Black
blaupunkt cybersound g2 40csg7112 40 inch (101 cm) led full hd tv,blaupunkt,cybersound g2 40csg7112 4,40,14999,Full HD,1920x1080,Black
blaupunkt cybersound g2 43csg7105 43 inch (109 cm) led full hd tv,blaupunkt,cybersound g2 43csg7105 4,43,16999,Full HD,1920x1080,Black
samsung ua55aue60ak 55 inch (139 cm) led 4k tv,samsung,ua55aue60ak 5,55,44490,4K,3840x2160,Black
blaupunkt cybersound 40csa7809 40 inch (101 cm) led hd-ready tv,blaupunkt,cybersound 40csa7809 4,40,14999,HD-Ready,1366x768,Black
blaupunkt 32csa7101 32 inch (81 cm) led hd-ready tv,blaupunkt,32csa7101 3,32,9999,HD-Ready,1366x768,Black
blaupunkt cybersound g2 series 32csg7111 32 inch (81 cm) led hd-ready tv,blaupunkt,cybersound g2 series 32csg7111 3,32,10799,HD-Ready,1366x768,Black
motorola 43sauhdmg 43 inch (109 cm) led 4k tv,motorola,43sauhdmg 4,43,31990,4K,3840x2160,Black
motorola 55sauhdm 55 inch (139 cm) led 4k tv,motorola,55sauhdm 5,55,39999,4K,3840x2160,Black
motorola 50sauhdm 50 inch (127 cm) led 4k tv,motorola,50sauhdm 5,50,33999,4K,3840x2160,Black
motorola 65sauhdm 65 inch (165 cm) led 4k tv,motorola,65sauhdm 6,65,64999,4K,3840x2160,Black
samsung ua32te40aak 32 inch (81 cm) led hd-ready tv,samsung,ua32te40aak 3,32,18490,HD-Ready,1366x768,Grey
realme smart tv 32 inch (81 cm) led full hd tv,realme,smart tv 3,32,15500,Full HD,1920x1080,Black
acer p series ar40ar2841fdfl 40 inch (101 cm) led full hd tv,acer,p series ar40ar2841fdfl 4,40,16999,Full HD,1920x1080,Black
samsung ua55cu8570u 55 inch (139 cm) led 4k tv,samsung,ua55cu8570u 5,55,71990,4K,3840x2160,Other
samsung ua43cu8570u 43 inch (109 cm) led 4k tv,samsung,ua43cu8570u 4,43,50490,4K,3840x2160,Other
samsung ua65cu8570u 65 inch (165 cm) led 4k tv,samsung,ua65cu8570u 6,65,107990,4K,3840x2160,Other
kodak 24hdx100s 24 inch (60 cm) led hd-ready tv,kodak,24hdx100s 2,24,5999,HD-Ready,1366x768,Black
kodak 50uhdx7xprobl 50 inch (127 cm) led 4k tv,kodak,50uhdx7xprobl 5,50,25999,4K,3840x2160,Black
kodak 55uhdx7xprobl 55 inch (139 cm) led 4k tv,kodak,55uhdx7xprobl 5,55,27999,4K,3840x2160,Black
lg 43lm5650pta 43 inch (109 cm) led full hd tv,lg,43lm5650pta 4,43,28990,Full HD,1920x1080,Black
thomson phoenix q43h1110 43 inch (109 cm) qled 4k tv,thomson,phoenix q43h1110 4,43,20999,4K,3840x2160,Black
